hdi,life,education_e,education_m,gnhd,gni,country_id
0.506,63.1,8.5,3.8,"3,560",-14.0,156
0.506,67.9,9.2,5.0,"1,540",16.0,157
0.505,62.6,9.9,4.0,"2,463",-1.0,158
0.503,63.3,11.5,4.6,"1,456",16.0,159
0.498,63.8,9.2,2.6,"3,519",-17.0,160
0.497,49.8,11.1,5.9,"3,306",-16.0,161
0.484,59.7,12.2,4.5,"1,228",17.0,162
0.483,62.8,8.7,4.9,"1,669",4.0,163
0.483,64.2,10.3,3.7,"1,458",11.0,164
0.483,58.5,9.8,5.4,"1,613",6.0,165
0.48,59.6,11.1,3.3,"1,767",0.0,166
0.479,63.5,7.0,3.1,"3,809",-27.0,167
0.47,62.0,6.4,3.8,"3,276",-22.0,168
0.467,55.7,7.6,5.4,"2,332",-9.0,169
0.466,66.5,7.9,2.5,"2,188",-8.0,170
0.465,60.4,9.3,3.2,"1,885",-7.0,171
0.462,51.5,8.9,4.3,"3,171",-24.0,172
0.445,62.8,10.8,4.3,747,13.0,173
0.442,64.1,8.5,2.4,"1,428",2.0,174
0.441,60.2,8.8,2.8,"1,507",-2.0,175
0.433,58.7,9.8,6.0,680,11.0,176
0.43,60.9,9.5,4.1,805,7.0,177
0.42,55.2,9.0,2.8,"1,362",-1.0,178
0.419,58.0,8.4,2.0,"1,583",-8.0,179
0.416,55.1,9.3,3.2,"1,123",1.0,180
0.413,50.9,8.6,3.1,"1,780",-16.0,181
0.411,58.8,8.7,2.4,"1,096",0.0,182
0.402,58.7,7.8,1.4,"1,591",-13.0,183
0.4,56.7,10.1,2.7,758,1.0,184
0.392,51.6,7.4,1.9,"2,085",-22.0,185
0.391,63.7,4.1,3.9,"1,130",-6.0,186
0.35,50.7,7.2,4.2,581,1.0,187
0.348,61.4,5.4,1.5,908,-5.0,188
0.686,70.6,12.0,6.4,"15,722",-1.0,189
0.71,74.0,12.7,7.5,"11,449",-1.0,190
0.748,72.3,13.6,10.0,"12,791",-1.0,191
0.748,75.0,14.0,8.2,"14,242",-1.0,192
0.607,68.4,11.2,5.5,"5,605",-1.0,193
0.518,58.5,9.6,5.2,"3,363",-1.0,194
0.711,71.5,12.2,7.9,"14,301",-1.0,195
